wort;sent;pol;type;multiplier;combined
Koffeinabhängigkeit;NEG;1;nomen;-1;-1
Betriebsspionage;NEG;1;nomen;-1;-1
Hexenverbrennung;NEG;1;nomen;-1;-1
Friedensgespräch;POS;0.7;nomen;1;0.7
Schmälerung;NEG;0.5;nomen;-1;-0.5
Modernisierungspolitik;POS;0.7;nomen;1;0.7
Leistungsanspruch;POS;0.7;nomen;1;0.7
Schreck;NEG;1;nomen;-1;-1
Formgefühl;POS;0.7;nomen;1;0.7
Hetzkampagne;NEG;1;nomen;-1;-1
entraten;NEG;0.7;verben;-1;-0.7
Fettsucht;NEG;1;nomen;-1;-1
verwunden;NEG;1;verben;-1;-1
ausquetschen;NEG;0.7;verben;-1;-0.7
Wohlfühlkur;POS;0.7;nomen;1;0.7
verschlafen;NEG;0.7;verben;-1;-0.7
Bestechung;NEG;1;nomen;-1;-1
Armverletzung;NEG;1;nomen;-1;-1
Erkältungskrankheit;NEG;0.7;nomen;-1;-0.7
erdreisten;NEG;0.7;verben;-1;-0.7
Nekrophilie;NEG;1;nomen;-1;-1
Arterienverkalkung;NEG;1;nomen;-1;-1
zurechtstutzen;NEG;1;verben;-1;-1
Bandscheibenvorfall;NEG;1;nomen;-1;-1
verbeißen;NEG;1;verben;-1;-1
Röteln;NEG;1;nomen;-1;-1
verkühlen;NEG;0.7;verben;-1;-0.7
Harmlosigkeit;POS;0.5;nomen;1;0.5
wünschen;POS;0.5;verben;1;0.5
verunglimpfen;NEG;1;verben;-1;-1
Arbeiteraufstand;NEG;1;nomen;-1;-1
Sterblichkeit;NEG;1;nomen;-1;-1
Schimpf;NEG;1;nomen;-1;-1
Bisswunde;NEG;1;nomen;-1;-1
sympathisieren;POS;0.7;verben;1;0.7
Stolz;POS;1;nomen;1;1
anblaffen;NEG;1;verben;-1;-1
delirieren;NEG;0.7;verben;-1;-0.7
Verlässlichkeit;POS;1;nomen;1;1
Güte;POS;1;nomen;1;1
Virusgrippe;NEG;1;nomen;-1;-1
zuraten;POS;0.7;verben;1;0.7
Angeschlagenheit;NEG;0.5;nomen;-1;-0.5
Dickfelligkeit;POS;0.7;nomen;1;0.7
Untauglichkeit;NEG;1;nomen;-1;-1
Faible;POS;1;nomen;1;1
Wohltat;POS;0.7;nomen;1;0.7
Heimweh;NEG;0.7;nomen;-1;-0.7
Mutlosigkeit;NEG;0.7;nomen;-1;-0.7
Gehässigkeit;NEG;1;nomen;-1;-1
Wagemut;POS;0.7;nomen;1;0.7
läutern;POS;1;verben;1;1
Verbesserung;POS;0.7;nomen;1;0.7
abwählen;NEG;0.5;verben;-1;-0.5
Verbundenheitsgefühl;POS;1;nomen;1;1
Brutalität;NEG;1;nomen;-1;-1
Inhaftierung;NEG;1;nomen;-1;-1
Einerlei;NEG;0.5;nomen;-1;-0.5
anmaßen;NEG;0.7;verben;-1;-0.7
Paradoxon;NEG;0.7;nomen;-1;-0.7
Zuspruch;POS;0.7;nomen;1;0.7
präferieren;POS;0.5;verben;1;0.5
Neugier;POS;1;nomen;1;1
ermahnen;NEG;0.5;verben;-1;-0.5
bestärken;POS;0.7;verben;1;0.7
Harmonie;POS;1;nomen;1;1
Zureden;POS;0.7;nomen;1;0.7
Inzucht;NEG;1;nomen;-1;-1
Freiheitseinzug;NEG;1;nomen;-1;-1
gewähren;POS;0.5;verben;1;0.5
Rückständigkeit;NEG;0.7;nomen;-1;-0.7
Retourkutsche;NEG;1;nomen;-1;-1
Zufriedenheit;POS;1;nomen;1;1
Wahn;NEG;1;nomen;-1;-1
Zerbrechlichkeit;NEG;0.7;nomen;-1;-0.7
Verstopfung;NEG;0.7;nomen;-1;-0.7
Giftgasanschlag;NEG;1;nomen;-1;-1
Ungehorsam;NEG;0.7;nomen;-1;-0.7
Steuerreform;POS;0.5;nomen;1;0.5
entgeistern;NEG;1;verben;-1;-1
verdrängen;NEG;0.5;verben;-1;-0.5
Schamgefühl;NEG;0.7;nomen;-1;-0.7
Gezänk;NEG;0.7;nomen;-1;-0.7
verwöhnen;POS;1;verben;1;1
Bauchfellentzündung;NEG;1;nomen;-1;-1
Wahrhaftigkeit;POS;1;nomen;1;1
Waffenschmuggel;NEG;1;nomen;-1;-1
Pustel;NEG;0.5;nomen;-1;-0.5
Dividendenerhöhung;POS;0.5;nomen;1;0.5
Verdruß;NEG;1;nomen;-1;-1
Asylantenfeindlichkeit;NEG;1;nomen;-1;-1
Feldverweis;NEG;1;nomen;-1;-1
Landesverteidigung;POS;0.7;nomen;1;0.7
Übergriff;NEG;1;nomen;-1;-1
Haft;NEG;1;nomen;-1;-1
Entschlackung;POS;0.7;nomen;1;0.7
Verzagtheit;NEG;1;nomen;-1;-1
übereinkommen;POS;0.7;verben;1;0.7
Wirtschaftsaufschwung;POS;1;nomen;1;1
Gewalttat;NEG;1;nomen;-1;-1
entlassen;NEG;0.7;verben;-1;-0.7
Gefühlsarmut;NEG;1;nomen;-1;-1
Vertrauensstellung;POS;0.7;nomen;1;0.7
Kontenance;POS;0.7;nomen;1;0.7
Handgemenge;NEG;0.7;nomen;-1;-0.7
Fäulnisgeschmack;NEG;0.7;nomen;-1;-0.7
unterjubeln;NEG;0.7;verben;-1;-0.7
bezahlen;NEG;0.5;verben;-1;-0.5
Aussichtslosigkeit;NEG;1;nomen;-1;-1
Heimatverbundenheit;POS;0.5;nomen;1;0.5
verfehlen;NEG;0.5;verben;-1;-0.5
geheimhalten;NEG;0.7;verben;-1;-0.7
danken;POS;0.7;verben;1;0.7
Abwärtstrend;NEG;1;nomen;-1;-1
Zwist;NEG;0.7;nomen;-1;-0.7
erbeten;POS;0.5;verben;1;0.5
lasten;NEG;1;verben;-1;-1
Leid_tun;NEG;0.7;verben;-1;-0.7
Biss;NEG;0.7;nomen;-1;-0.7
Triumph;POS;1;nomen;1;1
auskommen;POS;0.5;verben;1;0.5
verniedlichen;NEG;1;verben;-1;-1
tiefstapeln;NEG;0.5;verben;-1;-0.5
Schläfrigkeit;NEG;0.5;nomen;-1;-0.5
Sprengung;NEG;1;nomen;-1;-1
Nachbetreuung;NEG;0.7;nomen;-1;-0.7
Multiple_Sklerose;NEG;1;nomen;-1;-1
nachgeben;POS;0.5;verben;1;0.5
Trunkenheit;NEG;1;nomen;-1;-1
Entwaffnung;POS;1;nomen;1;1
zagen;NEG;0.7;verben;-1;-0.7
vergrätzen;NEG;1;verben;-1;-1
auspfeifen;NEG;1;verben;-1;-1
Seelenregung;POS;1;nomen;1;1
vorgeben;NEG;0.7;verben;-1;-0.7
Siebenmeter;NEG;0.5;nomen;-1;-0.5
Wissensdurst;POS;1;nomen;1;1
überstrapazieren;NEG;0.7;verben;-1;-0.7
Bißwunde;NEG;1;nomen;-1;-1
Unfreiheit;NEG;1;nomen;-1;-1
Propagierung;POS;1;nomen;1;1
Schlaffheit;NEG;0.5;nomen;-1;-0.5
Nervenzusammenbruch;NEG;1;nomen;-1;-1
körperlich_behindert;NEG;1;adj;-1;-1
Vorhersagbarkeit;POS;0.7;nomen;1;0.7
Amtshilfe;POS;0.5;nomen;1;0.5
pfeifen;NEG;0.7;verben;-1;-0.7
Hochschulstudium;POS;1;nomen;1;1
Vertragsbruch;NEG;1;nomen;-1;-1
Verletzlichkeit;NEG;0.5;nomen;-1;-0.5
Nikotinmißbrauch;NEG;1;nomen;-1;-1
demoralisieren;NEG;1;verben;-1;-1
Isolation;NEG;0.7;nomen;-1;-0.7
Zahnvereiterung;NEG;1;nomen;-1;-1
Abgespanntheit;NEG;1;nomen;-1;-1
Rechtschaffenheit;POS;0.7;nomen;1;0.7
ertrinken;NEG;1;verben;-1;-1
Unternehmungsgeist;POS;1;nomen;1;1
mißbrauchen;NEG;1;verben;-1;-1
Platzverweis;NEG;1;nomen;-1;-1
verschießen;NEG;1;verben;-1;-1
Krätze;NEG;1;nomen;-1;-1
Krebszelle;NEG;1;nomen;-1;-1
Stadtcharakter;POS;0.5;nomen;1;0.5
krebsen;NEG;0.5;verben;-1;-0.5
Körperbehinderung;NEG;1;nomen;-1;-1
Beliebigkeit;NEG;0.5;nomen;-1;-0.5
lieben;POS;1;verben;1;1
Gemütlichkeit;POS;1;nomen;1;1
Abschweifung;NEG;0.7;nomen;-1;-0.7
Gefallen;POS;0.7;nomen;1;0.7
Kulturschock;NEG;0.7;nomen;-1;-0.7
blockieren;NEG;0.7;verben;-1;-0.7
Spielfreude;POS;0.7;nomen;1;0.7
mobben;NEG;1;verben;-1;-1
Plausibilität;POS;0.7;nomen;1;0.7
Ausländerfeindlichkeit;NEG;1;nomen;-1;-1
Gestalttherapie;POS;0.5;nomen;1;0.5
Wettbewerbsfähigkeit;POS;0.7;nomen;1;0.7
verschätzen;NEG;0.5;verben;-1;-0.5
Ahndung;NEG;1;nomen;-1;-1
Beschießung;NEG;1;nomen;-1;-1
keifen;NEG;1;verben;-1;-1
Ausländerhaß;NEG;1;nomen;-1;-1
Katzenjammer;NEG;1;nomen;-1;-1
Überreaktion;NEG;0.7;nomen;-1;-0.7
Vorhaltung;NEG;1;nomen;-1;-1
Verschrottung;NEG;1;nomen;-1;-1
Lungendurchschuss;NEG;1;nomen;-1;-1
Abart;NEG;0.7;nomen;-1;-0.7
Absichtlichkeit;NEG;0.7;nomen;-1;-0.7
Artilleriefeuer;NEG;1;nomen;-1;-1
Säuglingssterblichkeit;NEG;1;nomen;-1;-1
zieren;POS;0.7;verben;1;0.7
Flugzeugentführung;NEG;1;nomen;-1;-1
Absturzursache;NEG;1;nomen;-1;-1
Berufsfreiheit;POS;0.7;nomen;1;0.7
Lebensmittelvergiftung;NEG;1;nomen;-1;-1
Unterhaltungswert;POS;0.5;nomen;1;0.5
Ermattung;NEG;0.7;nomen;-1;-0.7
zugestehen;POS;0.7;verben;1;0.7
vorziehen;POS;0.5;verben;1;0.5
abplagen;NEG;1;verben;-1;-1
Neugliederung;POS;0.5;nomen;1;0.5
Gastfreundschaft;POS;0.7;nomen;1;0.7
mitreißen;POS;1;verben;1;1
perfektionieren;POS;0.7;verben;1;0.7
Hass;NEG;1;nomen;-1;-1
Menschenrechtsverletzung;NEG;1;nomen;-1;-1
austricksen;NEG;0.5;verben;-1;-0.5
Fraktur;NEG;1;nomen;-1;-1
Gegenschlag;NEG;1;nomen;-1;-1
verraten;NEG;1;verben;-1;-1
Kuckucksei;NEG;0.5;nomen;-1;-0.5
herunterspielen;NEG;0.7;verben;-1;-0.7
einwerfen;POS;0.5;verben;1;0.5
scherzen;POS;0.7;verben;1;0.7
düpieren;NEG;0.5;verben;-1;-0.5
leimen;NEG;0.7;verben;-1;-0.7
Teamgeist;POS;1;nomen;1;1
eifersüchteln;NEG;1;verben;-1;-1
Garstigkeit;NEG;1;nomen;-1;-1
Wildheit;NEG;0.5;nomen;-1;-0.5
Schwarzmalerei;NEG;1;nomen;-1;-1
Tauglichkeit;POS;0.7;nomen;1;0.7
Weltschmerz;NEG;1;nomen;-1;-1
Verbleib;POS;0.7;nomen;1;0.7
speien;NEG;1;verben;-1;-1
Silberne_Hochzeit;POS;1;nomen;1;1
Ausgebranntheit;NEG;1;nomen;-1;-1
Ursprünglichkeit;POS;0.7;nomen;1;0.7
Verhetzung;NEG;1;nomen;-1;-1
bebrüten;POS;0.5;verben;1;0.5
Wertlosigkeit;NEG;1;nomen;-1;-1
lechzen;NEG;0.7;verben;-1;-0.7
Drogenmissbrauch;NEG;1;nomen;-1;-1
runterputzen;NEG;1;verben;-1;-1
Muffigkeit;NEG;0.5;nomen;-1;-0.5
Entrücktheit;POS;1;nomen;1;1
überreden;POS;0.5;verben;1;0.5
Kaffeesucht;NEG;1;nomen;-1;-1
Traurigkeit;NEG;1;nomen;-1;-1
Verbesserungsvorschlag;POS;0.5;nomen;1;0.5
Reisefieber;NEG;0.5;nomen;-1;-0.5
Dschihad;NEG;1;nomen;-1;-1
verhelfen;POS;0.7;verben;1;0.7
verknacksen;NEG;0.7;verben;-1;-0.7
authentisieren;POS;0.7;verben;1;0.7
Konsolidierung;POS;0.5;nomen;1;0.5
Zartheit;POS;0.5;nomen;1;0.5
Friedfertigkeit;POS;1;nomen;1;1
Geschmacklosigkeit;NEG;1;nomen;-1;-1
Provinzialiät;NEG;0.5;nomen;-1;-0.5
Freiwilligkeit;POS;0.7;nomen;1;0.7
beseelen;POS;0.7;verben;1;0.7
Annehmlichkeit;POS;0.7;nomen;1;0.7
Kinderbetreuung;NEG;1;nomen;-1;-1
Beitragsanhebung;NEG;0.5;nomen;-1;-0.5
Emsigkeit;POS;0.7;nomen;1;0.7
hintergehen;NEG;0.7;verben;-1;-0.7
zurückwünschen;POS;0.7;verben;1;0.7
Abscheu;NEG;1;nomen;-1;-1
Abschlachtung;NEG;1;nomen;-1;-1
missachten;NEG;1;verben;-1;-1
Rauchvergiftung;NEG;1;nomen;-1;-1
Befremden;NEG;0.7;nomen;-1;-0.7
Schock;NEG;1;nomen;-1;-1
anturnen;NEG;0.7;verben;-1;-0.7
beeiden;POS;0.7;verben;1;0.7
abschalten;POS;0.7;verben;1;0.7
Hartherzigkeit;NEG;1;nomen;-1;-1
Kriminalität;NEG;1;nomen;-1;-1
aufrütteln;POS;0.7;verben;1;0.7
Leidenschaft;POS;1;nomen;1;1
erpressen;NEG;1;verben;-1;-1
Rechtsgefühl;POS;1;nomen;1;1
Zügellosigkeit;NEG;0.7;nomen;-1;-0.7
betrauern;NEG;1;verben;-1;-1
triumphieren;POS;1;verben;1;1
krummnehmen;NEG;1;verben;-1;-1
Invasion;NEG;1;nomen;-1;-1
necken;NEG;0.5;verben;-1;-0.5
Defizit;NEG;1;nomen;-1;-1
Kindersterblichkeit;NEG;1;nomen;-1;-1
Überernährung;NEG;0.7;nomen;-1;-0.7
Kundenfeindlichkeit;NEG;1;nomen;-1;-1
malträtieren;NEG;1;verben;-1;-1
fortjagen;NEG;1;verben;-1;-1
Vernichtung;NEG;1;nomen;-1;-1
Abfallbeseitigung;NEG;1;nomen;-1;-1
Herunterstufung;NEG;1;nomen;-1;-1
disqualifizieren;NEG;1;verben;-1;-1
Nervosität;NEG;0.7;nomen;-1;-0.7
verärgern;NEG;1;verben;-1;-1
Schönheit;POS;1;nomen;1;1
Bedeutungsverlust;NEG;0.7;nomen;-1;-0.7
verneinen;NEG;0.5;verben;-1;-0.5
verbrühen;NEG;1;verben;-1;-1
zurückscheuen;NEG;1;verben;-1;-1
entbrennen;POS;0.7;verben;1;0.7
Privileg;POS;1;nomen;1;1
exaltieren;NEG;1;verben;-1;-1
Bauchweh;NEG;1;nomen;-1;-1
stigmatisieren;NEG;1;verben;-1;-1
Bösartigkeit;NEG;1;nomen;-1;-1
Instinktlosigkeit;NEG;0.7;nomen;-1;-0.7
Krebserkrankung;NEG;1;nomen;-1;-1
Ruhelosigkeit;NEG;0.7;nomen;-1;-0.7
monieren;NEG;1;verben;-1;-1
Milderung;POS;0.7;nomen;1;0.7
verweigern;NEG;1;verben;-1;-1
halluzinieren;NEG;1;verben;-1;-1
blocken;NEG;0.7;verben;-1;-0.7
beharren;NEG;0.5;verben;-1;-0.5
belachen;NEG;1;verben;-1;-1
Inspiriertheit;POS;1;nomen;1;1
tief_traurig;NEG;1;adj;-1;-1
fortekeln;NEG;1;verben;-1;-1
anwidern;POS;1;verben;1;1
Ungenauigkeit;NEG;0.7;nomen;-1;-0.7
Entspanntheit;POS;0.7;nomen;1;0.7
Unschuld;POS;1;nomen;1;1
Kummer;NEG;1;nomen;-1;-1
aufnötigen;NEG;1;verben;-1;-1
Offenheit;POS;1;nomen;1;1
Gleichklang;POS;0.7;nomen;1;0.7
Berührungsangst;NEG;0.5;nomen;-1;-0.5
Hochrüstung;NEG;1;nomen;-1;-1
verhalten;NEU;0;verben;0;0
Chemotherapie;POS;0.7;nomen;1;0.7
absagen;NEG;0.7;verben;-1;-0.7
hochleben_lassen;POS;1;verben;1;1
Kinderarbeit;NEG;1;nomen;-1;-1
Schlamperei;NEG;1;nomen;-1;-1
Neid;NEG;1;nomen;-1;-1
Mitgefühl;POS;1;nomen;1;1
Abschießen;NEG;1;nomen;-1;-1
schlechtreden;NEG;1;verben;-1;-1
quälen;NEG;1;verben;-1;-1
idyllisieren;NEG;0.5;verben;-1;-0.5
Keilerei;NEG;1;nomen;-1;-1
mahnen;NEG;0.7;verben;-1;-0.7
intrigieren;NEG;1;verben;-1;-1
Depression;NEG;1;nomen;-1;-1
Trotz;NEG;1;nomen;-1;-1
Suff;NEG;1;nomen;-1;-1
erkälten;NEG;0.7;verben;-1;-0.7
fabulieren;NEG;0.5;verben;-1;-0.5
Verachtung;NEG;1;nomen;-1;-1
Nackenspeck;NEG;0.7;nomen;-1;-0.7
Mitleidenschaft;NEG;0.7;nomen;-1;-0.7
Krach;NEG;0.7;nomen;-1;-0.7
Beunruhigung;NEG;1;nomen;-1;-1
Vertrautheit;POS;1;nomen;1;1
fahrenlassen;NEG;0.5;verben;-1;-0.5
Silberhochzeit;POS;1;nomen;1;1
Dienstuntauglichkeit;NEG;0.7;nomen;-1;-0.7
Großzügigkeit;POS;1;nomen;1;1
Sachzwang;NEG;0.5;nomen;-1;-0.5
Resistenz;POS;0.7;nomen;1;0.7
Nichterfüllung;NEG;1;nomen;-1;-1
Spaß;POS;1;nomen;1;1
Freitod;NEG;0.7;nomen;-1;-0.7
Drogenschmuggel;NEG;1;nomen;-1;-1
beseufzen;NEG;0.7;verben;-1;-0.7
schwarzmalen;NEG;0.7;verben;-1;-0.7
Höllenstrafe;NEG;1;nomen;-1;-1
Freizeitvergnügen;POS;0.7;nomen;1;0.7
nötigen;NEG;1;verben;-1;-1
rühmen;POS;1;verben;1;1
Instrumentalisierung;NEG;0.7;nomen;-1;-0.7
Fairness;POS;1;nomen;1;1
zügeln;POS;0.7;verben;1;0.7
Selbstbetrug;NEG;1;nomen;-1;-1
Barbarei;NEG;1;nomen;-1;-1
Tötungsdelikt;NEG;1;nomen;-1;-1
Funktionsfähigkeit;POS;0.7;nomen;1;0.7
relaxen;POS;0.5;verben;1;0.5
absitzen;NEG;0.7;verben;-1;-0.7
entschuldigen;POS;1;verben;1;1
Mogelei;NEG;0.7;nomen;-1;-0.7
Habgier;NEG;1;nomen;-1;-1
Abgestumpftheit;NEG;1;nomen;-1;-1
Selbstmitleid;NEG;1;nomen;-1;-1
Massenmord;NEG;1;nomen;-1;-1
Beklemmung;NEG;1;nomen;-1;-1
Heroinsucht;NEG;1;nomen;-1;-1
Außergewöhnlichkeit;POS;1;nomen;1;1
körperliche_Beeinträchtigung;NEG;1;nomen;-1;-1
Zerfall;NEG;1;nomen;-1;-1
Esssucht;NEG;1;nomen;-1;-1
Flitterwochen;POS;1;nomen;1;1
Missbildung;NEG;1;nomen;-1;-1
Fügsamkeit;POS;0.5;nomen;1;0.5
Wissbegier;POS;0.5;nomen;1;0.5
Eheschließung;POS;0.7;nomen;1;0.7
ermuntern;POS;0.7;verben;1;0.7
Ärger;NEG;1;nomen;-1;-1
Atembeschwerde;NEG;1;nomen;-1;-1
vervollkommnen;POS;0.7;verben;1;0.7
erhellen;POS;0.7;verben;1;0.7
integrieren;POS;0.7;verben;1;0.7
persiflieren;NEG;0.5;verben;-1;-0.5
überreagieren;NEG;1;verben;-1;-1
Gedrücktheit;NEG;1;nomen;-1;-1
Rohheit;NEG;1;nomen;-1;-1
Ratlosigkeit;NEG;0.7;nomen;-1;-0.7
Trostspende;POS;1;nomen;1;1
Fahrvergnügen;POS;1;nomen;1;1
korrigieren;NEG;0.5;verben;-1;-0.5
Warnstreik;NEG;0.7;nomen;-1;-0.7
kläffen;NEG;1;verben;-1;-1
Mordtat;NEG;1;nomen;-1;-1
Kolonialherrschaft;NEG;1;nomen;-1;-1
Aktiva;POS;0.7;nomen;1;0.7
kapitulieren;NEG;0.7;verben;-1;-0.7
Verve;POS;1;nomen;1;1
Sexualdelikt;NEG;1;nomen;-1;-1
Kreuzzug;NEG;1;nomen;-1;-1
Nachteil;NEG;0.7;nomen;-1;-0.7
Sturmangriff;NEG;1;nomen;-1;-1
Akuratheit;POS;1;nomen;1;1
Zwietracht;NEG;1;nomen;-1;-1
Unsicherheitsfaktor;NEG;0.5;nomen;-1;-0.5
Malaria;NEG;1;nomen;-1;-1
Liebesbeziehung;POS;1;nomen;1;1
Zuwiderhandlung;NEG;1;nomen;-1;-1
Gemeinsinn;POS;1;nomen;1;1
Trauerstimmung;NEG;1;nomen;-1;-1
Neuorganisation;POS;0.7;nomen;1;0.7
Wegfall;NEG;0.7;nomen;-1;-0.7
festlegen;POS;0.7;verben;1;0.7
Versteckspiel;NEG;0.5;nomen;-1;-0.5
Endzeitstimmung;NEG;1;nomen;-1;-1
Verhaltenstherapie;POS;0.7;nomen;1;0.7
ritualisieren;POS;0.5;verben;1;0.5
Musikgenuss;POS;0.5;nomen;1;0.5
Wohlgefühl;POS;1;nomen;1;1
verabreden;POS;0.7;verben;1;0.7
Rassenressentiment;NEG;1;nomen;-1;-1
bürgen;POS;0.7;verben;1;0.7
begehren;POS;0.7;verben;1;0.7
Konstituierung;POS;0.7;nomen;1;0.7
Unwesen;NEG;1;nomen;-1;-1
Darmverschluß;NEG;1;nomen;-1;-1
Ausbildungsförderung;POS;0.7;nomen;1;0.7
sperren;NEG;1;verben;-1;-1
entflammen;POS;0.7;verben;1;0.7
froh_gestimmt;POS;1;adj;1;1
Müllwirtschaft;NEG;1;nomen;-1;-1
beherrschen;POS;0.7;verben;1;0.7
Hoffnungsschimmer;POS;1;nomen;1;1
Zurückgezogenheit;NEG;0.5;nomen;-1;-0.5
durcheinanderbringen;NEG;0.5;verben;-1;-0.5
Gutmütigkeit;POS;0.7;nomen;1;0.7
Beliebtheit;POS;0.7;nomen;1;0.7
Brandstiftung;NEG;1;nomen;-1;-1
sexueller_Missbrauch;NEG;1;nomen;-1;-1
Steuerhinterziehung;NEG;1;nomen;-1;-1
Auffrischung;POS;0.5;nomen;1;0.5
Maloche;NEG;1;nomen;-1;-1
Verwirrspiel;NEG;1;nomen;-1;-1
Benutzerfreundlichkeit;POS;0.5;nomen;1;0.5
verslumen;NEG;1;verben;-1;-1
Wirkungslosigkeit;NEG;0.7;nomen;-1;-0.7
verbüßen;NEG;0.7;verben;-1;-0.7
Ränkespiel;NEG;1;nomen;-1;-1
Versiegelung;NEG;0.5;nomen;-1;-0.5
mitfühlen;POS;0.7;verben;1;0.7
zurücktreten;NEG;0.7;verben;-1;-0.7
Verehrung;POS;1;nomen;1;1
Optimum;POS;1;nomen;1;1
einbeziehen;POS;0.5;verben;1;0.5
Steigerung;POS;0.7;nomen;1;0.7
Pervertierung;NEG;1;nomen;-1;-1
Virusinfektion;NEG;1;nomen;-1;-1
lossagen;POS;0.7;verben;1;0.7
Kleptomanie;NEG;1;nomen;-1;-1
Unterlassungssünde;NEG;1;nomen;-1;-1
Nachdruck;NEG;0.7;nomen;-1;-0.7
Obsession;NEG;1;nomen;-1;-1
standhalten;POS;1;verben;1;1
Propaganda;NEG;1;nomen;-1;-1
abrichten;NEG;0.7;verben;-1;-0.7
schwarz_arbeiten;NEG;0.7;verben;-1;-0.7
deichseln;POS;0.7;verben;1;0.7
Wutanfall;NEG;1;nomen;-1;-1
Demontage;NEG;0.5;nomen;-1;-0.5
unvermindert;INT;2;adj;0;0
Beschaffungskriminalität;NEG;1;nomen;-1;-1
Desertieren;NEG;0.7;nomen;-1;-0.7
vorschwindeln;NEG;0.7;verben;-1;-0.7
Existenzrecht;POS;1;nomen;1;1
verhindern;NEG;1;verben;-1;-1
Trübsal;NEG;1;nomen;-1;-1
wegstecken;POS;0.7;verben;1;0.7
beeidigen;POS;1;verben;1;1
Rettungsanker;POS;0.5;nomen;1;0.5
fürchten;NEG;1;verben;-1;-1
Konzertgenuß;POS;0.7;nomen;1;0.7
anerkennen;POS;0.7;verben;1;0.7
befruchten;POS;0.5;verben;1;0.5
Scheidenpilz;NEG;1;nomen;-1;-1
schmarotzen;NEG;1;verben;-1;-1
Prellung;NEG;0.7;nomen;-1;-0.7
verkommen;NEG;0.7;verben;-1;-0.7
Vollzug;NEG;1;nomen;-1;-1
Mißgunst;NEG;1;nomen;-1;-1
Meinungsstreit;NEG;0.7;nomen;-1;-0.7
Abnutzung;NEG;0.7;nomen;-1;-0.7
Augendienerei;NEG;1;nomen;-1;-1
Überlegenheitsgefühl;POS;0.5;nomen;1;0.5
Gemeinschaftsgefühl;POS;0.7;nomen;1;0.7
übel_gesinnt;NEG;1;adj;-1;-1
erschrecken;NEG;1;verben;-1;-1
Skorpionstich;NEG;1;nomen;-1;-1
anmahnen;NEG;1;verben;-1;-1
unterbinden;NEG;0.7;verben;-1;-0.7
bemuttern;POS;0.7;verben;1;0.7
hineinknien;POS;0.7;verben;1;0.7
degradieren;NEG;1;verben;-1;-1
Schwäche;NEG;0.5;nomen;-1;-0.5
einfügen;POS;0.7;verben;1;0.7
Neuerung;POS;0.7;nomen;1;0.7
Spektakel;POS;0.7;nomen;1;0.7
Verzweiflungstat;NEG;1;nomen;-1;-1
Durcheinander;NEG;0.5;nomen;-1;-0.5
kränkeln;NEG;0.7;verben;-1;-0.7
erfolgsgewöhnt;POS;1;adj;1;1
ungebärdig;NEG;0.7;adj;-1;-0.7
schnöde;NEG;0.7;adj;-1;-0.7
edelmütig;POS;1;adj;1;1
gutbetucht;POS;0.7;adj;1;0.7
einsatzfreudig;POS;0.7;adj;1;0.7
verehrungswürdig;POS;1;adj;1;1
prätentiös;NEG;1;adj;-1;-1
vernichtend;NEG;1;adj;-1;-1
larmoyant;NEG;1;adj;-1;-1
zielbewußt;POS;1;adj;1;1
risikolos;POS;1;adj;1;1
glanzlos;NEG;0.7;adj;-1;-0.7
genügsam;POS;0.7;adj;1;0.7
ausgewogen;POS;0.7;adj;1;0.7
inkompetent;NEG;1;adj;-1;-1
erlogen;NEG;1;adj;-1;-1
unaufmerksam;NEG;0.7;adj;-1;-0.7
rigid;NEG;1;adj;-1;-1
prompt;POS;0.7;adj;1;0.7
mies;NEG;1;adj;-1;-1
linkisch;NEG;0.7;adj;-1;-0.7
irrtümlich;NEG;0.7;adj;-1;-0.7
schwergewichtig;NEG;0.7;adj;-1;-0.7
ungezogen;NEG;0.7;adj;-1;-0.7
unzulänglich;NEG;0.7;adj;-1;-0.7
bekifft;NEG;0.7;adj;-1;-0.7
überbordend;NEG;0.7;adj;-1;-0.7
nett;POS;1;adj;1;1
auskunftsfreudig;POS;0.7;adj;1;0.7
menschenunwürdig;NEG;1;adj;-1;-1
neofaschistisch;NEG;1;adj;-1;-1
deplatziert;NEG;0.7;adj;-1;-0.7
übersättigt;NEG;0.7;adj;-1;-0.7
beeinflußbar;NEG;0.5;adj;-1;-0.5
friedlich;POS;1;adj;1;1
verstohlen;NEG;1;adj;-1;-1
wehruntauglich;NEG;0.7;adj;-1;-0.7
trunken;NEG;1;adj;-1;-1
super;POS;1;adj;1;1
kümmerlich;NEG;0.7;adj;-1;-0.7
einvernehmlich;POS;1;adj;1;1
wild;NEG;0.5;adj;-1;-0.5
rechtswidrig;NEG;1;adj;-1;-1
unmotiviert;NEG;0.7;adj;-1;-0.7
befruchtend;POS;1;adj;1;1
knorke;POS;1;adj;1;1
heiser;NEG;0.5;adj;-1;-0.5
komfortabel;POS;0.7;adj;1;0.7
bedauerlich;NEG;0.7;adj;-1;-0.7
integrativ;POS;1;adj;1;1
hingebungsvoll;POS;1;adj;1;1
unbrauchbar;NEG;1;adj;-1;-1
schwammig;NEG;0.7;adj;-1;-0.7
gewaltsam;NEG;1;adj;-1;-1
verstörend;NEG;0.7;adj;-1;-0.7
perspektivreich;POS;0.7;adj;1;0.7
hedonistisch;NEG;0.7;adj;-1;-0.7
müde;NEG;0.7;adj;-1;-0.7
zurechnungsfähig;POS;1;adj;1;1
